,094360.KQ_Price,399720.KQ_Price,045970.KQ_Price,042700.KS_Price,432720.KQ_Price,089030.KQ_Price,101490.KQ_Price,200710.KQ_Price,319660.KQ_Price,452430.KQ_Price,405100.KQ_Price,317120.KQ_Price,389020.KQ_Price,054450.KQ_Price,131970.KQ_Price,445090.KQ_Price,394280.KQ_Price,108320.KS_Price,059120.KQ_Price,036540.KQ_Price,093520.KQ_Price,254490.KQ_Price,102120.KQ_Price,067310.KQ_Price,092600.KQ_Price,005930.KS_Price,000660.KS_Price,376190.KQ_Price,098460.KQ_Price,440110.KQ_Price,330860.KQ_Price,061970.KQ_Price,119830.KQ_Price,033640.KQ_Price,429270.KQ_Price,172670.KQ_Price,093640.KQ_Price,000990.KS_Price,123860.KQ_Price,115610.KQ_Price,396270.KQ_Price,058470.KQ_Price,094170.KQ_Price,033170.KQ_Price,303030.KQ_Price,080520.KQ_Price,038880.KQ_Price,097800.KQ_Price,456010.KQ_Price,003160.KS_Price,052860.KQ_Price
094360.KQ_Price,1.0,0.003638851944976934,0.6652223716220678,0.7934249988265527,0.4940800854732865,0.7466937721047815,-0.10428865449618296,-0.1145343694272943,0.21181465537646188,-0.2042057267476429,0.1839644430823452,-0.21702795595902521,0.18403266129180224,-0.013937687981073709,-0.0734805325205818,-0.608975426011931,-0.35141866674093425,-0.6411146091267358,-0.5575799799527688,-0.45588489313348735,-0.23392584346035808,-0.3919169017647194,-0.5584361568619952,-0.48030973247212955,-0.30135045059576065,-0.11466440466735957,0.5469901815748157,-0.63455439758207,-0.6029988788188877,0.5596582795992012,-0.5599865262661388,-0.5486429440898513,-0.7042148788612685,-0.3357617238109046,-0.5482693691918351,-0.22198005168730642,-0.6026752129744597,-0.45929741722572026,-0.492567672122861,-0.6269468688259283,0.3748281305491871,0.4167386974244231,-0.45884708508853833,-0.6656698230587377,-0.6591852734358451,-0.322814752709431,-0.764354607584572,0.28834077892190085,-0.5688405397015275,-0.5005101022941449,-0.777614236707263
399720.KQ_Price,0.003638851944976934,1.0,0.480873499492343,-0.3851275507350215,0.5083957466367846,-0.02325755462673349,0.8860826986531559,0.8866627577790908,0.7554567846829304,0.8508821757152497,0.7036572169240618,0.7875015077720625,0.7517920653322897,0.8805466139540307,0.8803750650270041,0.7334335241238759,0.6509572708992366,0.7054588593561756,0.7854992438902992,0.8113964410706884,0.6569678088557566,0.7276356810926883,0.7233986185028993,0.5847674276520176,0.7487137089070018,0.8181744734582937,-0.6460155551191145,0.6630487417224942,0.7283400865779057,-0.6403487798632893,0.7411654402369267,0.7168059789379367,0.46715747451621187,0.48173968724672034,-0.07875460214099354,0.5909182729215146,0.44627474133435385,0.19388572335525842,0.46429451821850626,0.6310073829994616,-0.4137150728855942,0.381230006416737,0.6947123643555063,0.6157988784212219,0.4744719081677573,-0.29023268320370915,0.4686277629835071,0.6294776573137972,0.43914131372037735,0.1519957939602341,0.4362563111645638
045970.KQ_Price,0.6652223716220678,0.480873499492343,1.0,0.35957199737377493,0.5634464680833522,0.5691051462920909,0.4729606605752955,0.49012168261133965,0.6618616301544095,0.42584745357130477,0.6548999838999008,0.513476228007426,0.6220479114080798,0.5068332491998333,0.5177694210415792,-0.0707935107483239,0.13490045467308961,-0.08029386324007053,0.06758484661399031,0.1099339415090507,0.10372655471848087,0.24381606221126598,0.0725211047847844,0.027298573885584505,0.3152726831612455,0.41852011840624886,-0.06731508991198948,-0.14502178726468684,-0.00175811129246648,0.07884620835362206,0.05628291544876127,0.06595634658966137,-0.19991750404022962,-0.10485944221391302,-0.6048331461544114,0.18404890951688446,-0.10761661834215258,-0.4355597646034468,-0.043267173708913906,-0.021824090480824083,-0.020708275990939468,0.6354545170014141,0.23182761107150082,-0.08171508390458025,-0.233222981257721,-0.536080378059337,-0.2978734934736316,0.6889897165679804,-0.1014304446355119,-0.40493901643175645,-0.3615273982138453
042700.KS_Price,0.7934249988265527,-0.3851275507350215,0.35957199737377493,1.0,0.12308338891493965,0.7240775219668699,-0.5037917846947302,-0.4356299412607281,0.012774309643229053,-0.5402500764953443,-0.029508261148933717,-0.4836976462473079,-0.07187425582774266,-0.41131553396770354,-0.4087531105016772,-0.8253701816471691,-0.5907634382585262,-0.8469810764309536,-0.763203259490632,-0.6675108146187757,-0.4455304225720174,-0.6347037060703234,-0.7543070803686294,-0.6783721011597688,-0.5754235101221937,-0.490733020430328,0.8494640892777817,-0.7818840671403711,-0.7966782810591042,0.7768976301608258,-0.7847435140196491,-0.7958945884842831,-0.8281056777336561,-0.4195814086350212,-0.42434357773151327,-0.2982629894144791,-0.5976382664744286,-0.5323426902292806,-0.5606609772822179,-0.8201964181040419,0.4051522013314677,0.42146291029031,-0.7254558312002276,-0.8245449805398777,-0.646226385341254,-0.12053641061924814,-0.9092123132831469,-0.03899893838389876,-0.7345472996636082,-0.35185179984069553,-0.917442459849787
432720.KQ_Price,0.4940800854732865,0.5083957466367846,0.5634464680833522,0.12308338891493965,1.0,0.10632209185889126,0.5158506059548951,0.4059748339814369,0.3346885371370747,0.452663779772155,0.6810213211210051,0.3019012473140792,0.5459444456657554,0.6231159907727166,0.4333702824827504,0.15804354830096617,0.4902794291544189,0.15597973250596628,0.19600139716078835,0.2832166780895458,0.2030185921615761,0.3581305224288019,0.2906715387559018,0.349689240110044,0.46087909566985175,0.39424399365764196,-0.1780425112840369,0.10472805624830954,0.18158007765320308,0.11501851888446017,0.2329068165764944,0.2977971136149584,0.1576976825109498,-0.0834240341037294,-0.21145452423287528,0.07128160800412357,0.16363959953003004,-0.19536766661337635,0.2649772524170836,0.18429177935841604,-0.2460957806586778,0.23664853459234458,0.30301214829612344,0.19181537090228057,0.10156115485839022,-0.5222364999747774,0.04230251357353078,0.6339433326001339,0.23113096280236023,-0.3265732835718495,-0.08516713419264135
089030.KQ_Price,0.7466937721047815,-0.02325755462673349,0.5691051462920909,0.7240775219668699,0.10632209185889126,1.0,-0.10785257435764327,0.020908981032065063,0.46491200733408095,-0.25475690571427356,0.017239677770942027,-0.1264280896671412,0.0498514428482863,-0.10468811206036265,0.042768024631413507,-0.5254240933800668,-0.5079275416889414,-0.5718022219410628,-0.4642855530927285,-0.3591611155940312,0.045137160012098686,-0.5014475545564061,-0.561546737840245,-0.6552031738770208,-0.4309596608325745,0.012194459886022855,0.5943121295526724,-0.5342492899688989,-0.46906803771104016,0.32078032751618246,-0.5079659221260742,-0.5889117925102644,-0.7865762464955082,0.07240655200638317,-0.35958700025462836,-0.04065642757293824,-0.6398409152003952,-0.16900094317296005,-0.5979783432535349,-0.6628791083140757,0.6255696804042483,0.6030173384939372,-0.4823173289158114,-0.6856604450084186,-0.6829946335076715,0.11427950366556383,-0.7758564460400739,0.113284266454069,-0.7778554646286521,-0.04269942990428033,-0.6389304522609688
101490.KQ_Price,-0.10428865449618296,0.8860826986531559,0.4729606605752955,-0.5037917846947302,0.5158506059548951,-0.10785257435764327,1.0,0.870043121318047,0.6841849556173661,0.8862121059837935,0.7189246511850431,0.8142292915465955,0.6576267327839366,0.9005374156455883,0.8942362810855713,0.7807467623821841,0.6965126623011505,0.7654786446719126,0.8144246337894068,0.823895878168535,0.6582092698653309,0.7889379165003887,0.7882208220873304,0.6684059815041814,0.8257201403537124,0.8715526564746757,-0.7369168313002561,0.6910921927269574,0.7891474081420903,-0.6522698903715222,0.8130985929659739,0.8020165557385494,0.5782698593041085,0.4396124948108215,0.02541344590182744,0.4683494130863799,0.507307916696125,0.247976933911121,0.533970385801991,0.7259383316090141,-0.47072921375253035,0.23577211154794436,0.845425222319897,0.7087862731593257,0.5054779601921353,-0.3163862847484098,0.5912303271625889,0.6288161937247083,0.5811389521885423,0.11809417364725158,0.5446688444700573
200710.KQ_Price,-0.1145343694272943,0.8866627577790908,0.49012168261133965,-0.4356299412607281,0.4059748339814369,0.020908981032065063,0.870043121318047,1.0,0.7885677892537465,0.8536060244801124,0.6959765226597368,0.8687013063237581,0.6988236882673579,0.8789876862614368,0.9649253661318667,0.7266691642064612,0.6646438596696697,0.7264337215072237,0.8202693217745828,0.8510499656325745,0.774825270214518,0.7439147852920799,0.776523229163815,0.5821820369558042,0.7609803207959237,0.9185784184094483,-0.6590583623935387,0.6981109363224697,0.7986541887066737,-0.6995483962372677,0.8052933102024079,0.7445811703485669,0.50024298862804,0.5774672346772635,-0.07360101008883577,0.5894016707758711,0.49647657123947053,0.27362148897562916,0.5328517346541449,0.6555873176487501,-0.32723662441189094,0.4229423541149128,0.7586784908261408,0.6588429872939234,0.47174214203347004,-0.15035735539199713,0.49422403134561377,0.6696357853605455,0.40259712307452616,0.2890586794085518,0.4905157688326856
319660.KQ_Price,0.21181465537646188,0.7554567846829304,0.6618616301544095,0.012774309643229053,0.3346885371370747,0.46491200733408095,0.6841849556173661,0.7885677892537465,1.0,0.5964631636966463,0.6053731632588983,0.6727364775826854,0.6821032197312202,0.6490830773174029,0.7997936781177132,0.4003090652956601,0.31284081871012237,0.35049421572759487,0.49754470120720373,0.5705921271750859,0.5757772182628287,0.39539291049865455,0.38607316177861273,0.19557850172146735,0.434061949943397,0.6929110621562711,-0.2484181679367554,0.35948001864563717,0.4409200097296878,-0.41316905508008545,0.4255972312549527,0.3353952533501365,0.05031865828018838,0.46058325389152777,-0.19480614339138858,0.5397163748740244,0.13564969048216302,0.09822634595156532,0.14685198096178753,0.2405466698150649,-0.07341814084930613,0.714652332323897,0.39623171625222026,0.23525598645574267,0.16508274793968397,-0.1561355828052959,0.03556288580214039,0.5343070081245371,0.0013719366423658784,0.2095116964886816,0.08094982539177095
452430.KQ_Price,-0.2042057267476429,0.8508821757152497,0.42584745357130477,-0.5402500764953443,0.452663779772155,-0.25475690571427356,0.8862121059837935,0.8536060244801124,0.5964631636966463,1.0,0.7279201368425351,0.8570120373656983,0.7672043398138217,0.8525359724004428,0.83149664725972,0.7743831910120166,0.7146640361740119,0.791081765391929,0.8671746667786786,0.8353645601569418,0.5571854163350389,0.9220092099266858,0.8749716498992218,0.7276754910071023,0.9023681753214348,0.7957931726923255,-0.8333598644972812,0.6928317998317266,0.7918888404892337,-0.6909696365722465,0.8511950521720085,0.8678607284550741,0.6529522558122616,0.35865282033504936,-0.10879088206561587,0.6342887709577518,0.6741574829713308,0.015404935344321444,0.611050673878052,0.8251256015768234,-0.6542071312416378,0.2847097981726073,0.8904362011842721,0.797198748117239,0.6138165654970984,-0.4426069604695041,0.6102896528138901,0.7510204605590771,0.6474186046562591,0.10053467381602789,0.5207006276350161
